genero,idade,por_que_escolheu_ou_escolhe_andar_de_bicicleta_agrupado,ha_quanto_tempo_utiliza_agrupado,qual_e_o_principal_problema_que_voce_enfrenta_ao_andar_de_bicicleta_em_fortaleza_agrupado,tem_medo_de_sofrer_acidentes_andando_de_bicicleta_em_fortaleza_agrupado,sofreu_algum_acidente_no_ultimo_ano_agrupado,gostaria_de_trocar_a_bicicleta_por_outro_meio_de_transporte_agrupado,edicao,voce_tem_alguma_sugestao_para_melhorar_a_qualidade_e_o_conforto_ao_andar_de_bicicleta_em_fortaleza_agrupado,voce_gostaria_de_trocar_a_bicicleta_por_outro_meio_de_transporte_agrupado,ha_quanto_tempo_ciclista_agrupado,voce_tem_medo_de_sofrer_acidentes_agrupado,ja_sofreu_algum_acidente_no_ultimo_ano_agrupado,existe_alguma_rua_em_fortaleza_em_que_voce_gostaria_de_ver_uma_ciclovia_agrupado,em_que_rua_gostaria_de_ver_uma_ciclovia_agrupado
Masculino,,Praticidade e conveniência,,Desrespeito dos motoristas ou Trânsito,,,,270325,Conscietização dos motoristas; Melhoria da fiscalização,Não,,,,,
Masculino,40,Única opção,,Calor ou clima,,,,270325,Outros,"Sim, por uma moto",,,,,
Masculino,39,Praticidade e conveniência;Preferência pessoal,,,,,,270325,Expansão das ciclovias,Não,,,,,
Masculino,37,Exercício e saúde;Rapidez \ Tempo;Praticidade e conveniência,,Desrespeito dos motoristas ou Trânsito,"Sim, medo de acidente",,,270325,Outros,Não,,,,,
Feminino,38,Praticidade e conveniência;Segurança no trânsito,,Lixo na ciclovia,,,,270325,Limpeza das ciclovias,Não,,,,,
Masculino,61,Rapidez \ Tempo,,Desrespeito dos motoristas ou Trânsito; Sinalização inadequada,,,,270325,Outros,Não,,,,,
Masculino,,Exercício e saúde;Rapidez \ Tempo;Preferência pessoal,,Lixo na ciclovia,,,,270325,Limpeza das ciclovias,Não,,,,,
Masculino,51,Exercício e saúde;Preferência pessoal,,"Desrespeito dos motoristas ou Trânsito, Machismo e desrespeito",,,,270325,Conscietização dos motoristas,Não,,,,,
Masculino,50,Praticidade e conveniência;Segurança no trânsito;Custo \ É mais barato,,Desrespeito dos motoristas ou Trânsito,"Sim, medo de acidente",,,270325,Outros,"Sim, mas não especifica qual meio",,,,,
Feminino,39,Rapidez \ Tempo;Custo \ É mais barato,,"Má qualidade das ciclovias, Lixo na ciclovia",,,,270325,Outros,Não,,,,,
Masculino,36,Única opção,,Desrespeito dos motoristas ou Trânsito,,,,270325,Conscietização dos motoristas,"Sim, por uma moto",,,,,
Masculino,16,Exercício e saúde,,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,,,,270325,Expansão das ciclovias,"Sim, mas não especifica qual meio",,,,,
Masculino,46,Exercício e saúde;Praticidade e conveniência;Segurança no trânsito,,Desrespeito dos motoristas ou Trânsito; Buracos na ciclovia,,,,270325,Conscietização dos motoristas,Não,,,,,
Masculino,36,Rapidez \ Tempo,,Lixo na ciclovia; Outros obstáculos na ciclovia,,,,270325,Outros,"Sim, por um carro",,,,,
Masculino,23,Custo \ É mais barato;Praticidade e conveniência;Segurança no trânsito,,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,,,,270325,Melhoria da fiscalização,"Sim, por um carro",,,,,
Masculino,51,Rapidez \ Tempo;Praticidade e conveniência,,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,,,,270325,Conscietização dos motoristas,Não,,,,,
Masculino,28,Única opção,,Lixo na ciclovia,,,,270325,Limpeza das ciclovias,"Sim, por uma moto",,,,,
Masculino,25,Praticidade e conveniência;Mais fácil,,"Desrespeito dos motoristas ou Trânsito, Lixo na ciclovia, Outros obstáculos na ciclovia",,,,270325,Outros,Não,,,,,
Masculino,32,Custo \ É mais barato;Exercício e saúde,,Lixo na ciclovia,,,,270325,Outros,Não,,,,,
Masculino,38,Rapidez \ Tempo;Praticidade e conveniência;Mais fácil,,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,,,,270325,Outros,Não,,,,,
Masculino,46,Praticidade e conveniência,,Desrespeito dos motoristas ou Trânsito; Lixo na ciclovia,,,,270325,Limpeza das ciclovias,Não,,,,,
Masculino,40,Rapidez \ Tempo,,,,,,270325,Melhoria da fiscalização,Não,,,,,
Masculino,71,Preferência pessoal,,Desrespeito dos motoristas ou Trânsito,,,,270325,Melhoria da fiscalização,Não,,,,,
Masculino,37,Custo \ É mais barato;Única opção,,Desrespeito dos motoristas ou Trânsito,,,,270325,Outros,"Sim, por uma moto",,,,,
Masculino,55,Mais fácil;Preferência pessoal,,Desrespeito dos motoristas ou Trânsito,,,,270325,Outros,"Sim, por uma moto ou por um carro.",,,,,
Masculino,33,Rapidez \ Tempo;Praticidade e conveniência,,Outros obstáculos na ciclovia,,,,270325,Outros,"Sim, por uma moto",,,,,
Feminino,49,Exercício e saúde,,Desrespeito dos motoristas ou Trânsito,,,,270325,Outros,Não,,,,,
Masculino,45,Exercício e saúde,,Lixo na ciclovia,,,,270325,Outros,Não,,,,,
Masculino,10,Preferência pessoal,,Outros obstáculos na ciclovia,,,,270325,Outros,"Sim, por uma moto",,,,,
Masculino,188,Preferência pessoal,,Falta de ciclovias,,,,270325,Limpeza das ciclovias; Conscietização dos motoristas,"Sim, por uma bicicleta melhor",,,,,
Masculino,14,Preferência pessoal,,Desrespeito dos motoristas ou Trânsito; Lixo na ciclovia,,,,270325,Conscietização dos motoristas,Não,,,,,
Masculino,24,Rapidez \ Tempo,,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,,,,270325,Melhora de qualidade das ciclovias; Limpeza das ciclovias,Não,,,,,
Feminino,43,Praticidade e conveniência;Custo \ É mais barato;Mais fácil,,"Desrespeito dos motoristas ou Trânsito, Machismo e desrespeito, Outros obstáculos na ciclovia",Não,,,270325,Outros,Não,,,,,
Masculino,24,Exercício e saúde;Praticidade e conveniência;Segurança no trânsito,,Desrespeito dos motoristas ou Trânsito; Má qualidade das ciclovias,,,,270325,Outros,Não,,,,,
Masculino,17 anos,Única opção,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Calor ou clima,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto ou por um carro",290126,,,,,,,
Masculino,29 anos,Praticidade e conveniência,Entre 2 e 3 anos,Outros obstáculos na ciclovia,Não,Não,"Sim, por uma moto",290126,,,,,,,
Masculino,50 anos,Exercício e saúde; Rapidez \ Tempo,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto ou por um carro
Não",290126,,,,,,,
Masculino,48 anos,Praticidade e conveniência,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,Não,Não,"Sim, por uma moto ou por um carro",290126,,,,,,,
Masculino,17 anos,Rapidez \ Tempo; Exercício e saúde; Praticidade e conveniência,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto ou por um carro",290126,,,,,,,
Masculino,33,Exercício e saúde; Rapidez \ Tempo,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Falta de ciclovias,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto ou por um carro",290126,,,,,,,
Feminino,49 anos,Exercício e saúde;Rapidez \ Tempo;Praticidade e conveniência;Preferência pessoal,Entre 1 e 2 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto ou por um carro",290126,,,,,,,
Masculino,17 anos,Única opção,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto ou por um carro",290126,,,,,,,
Masculino,46 anos,Única opção,Menos de um ano,Desrespeito dos motoristas ou Trânsito,Não,Não,"Sim, por uma moto ou por um carro",290126,,,,,,,
Masculino,38,Exercício e saúde;Rapidez \ Tempo;Praticidade e conveniência,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,"Sim, tenho medo de acidentes",Sim,Não,290126,,,,,,,
Masculino,28 anos,Exercício e saúde; Praticidade e conveniência,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,Não,Sim,Não,290126,,,,,,,
Masculino,30 anos,Preferência pessoal; Rapidez \ Tempo; Praticidade e conveniência,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto ou por um carro",290126,,,,,,,
Feminino,29 anos,Exercício e saúde; Preferência pessoal,Menos de um ano,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto ou por um carro",290126,,,,,,,
Masculino,47 anos,Exercício e saúde,Menos de um ano,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto ou por um carro",290126,,,,,,,
Masculino,42 anos,Exercício e saúde,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto ou por um carro",290126,,,,,,,
Masculino,28 anos,Exercício e saúde; Rapidez \ Tempo; Praticidade e conveniência,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,Não,290126,,,,,,,
Masculino,55 anos,Custo \ É mais barato; Exercício e saúde,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto ou por um carro",290126,,,,,,,
Feminino,43,Rapidez \ Tempo;Praticidade e conveniência,Entre 3 e 5 anos,Desrespeito dos motoristas ou Trânsito; Risco de acidentes; Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",Não,Não,290126,,,,,,,
Masculino,40 anos,Exercício e saúde;Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,Não,290126,,,,,,,
Masculino,32 anos,Exercício e saúde,Mais de 5 anos,Risco de acidentes,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto ou por um carro",290126,,,,,,,
Masculino,17 anos,Rapidez \ Tempo,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,Não,Sim,"Sim, por uma moto ou por um carro",290126,,,,,,,
Feminino,39 anos,Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto ou por um carro",290126,,,,,,,
Masculino,45,Rapidez \ Tempo,,Desrespeito dos motoristas ou Trânsito; Risco de acidentes; Calor ou clima,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto ou por um carro",290126,,,,,,,
Masculino,17 anos,Preferência pessoal,Mais de 5 anos,Invasão de carros ou motos na ciclovia; Desrespeito dos motoristas ou Trânsito,Não,Não,"Sim, por uma moto",290126,,,,,,,
Masculino,49 anos,Exercício e saúde,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,Não,Sim,"Sim, por uma moto",290126,,,,,,,
Não há informações suficientes no texto para determinar o gênero da pessoa.,17 anos,Única opção,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto ou por um carro",290126,,,,,,,
Masculino,38,Rapidez \ Tempo,Entre 3 e 5 anos,Risco de acidentes; Calor ou clima,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto ou por um carro",290126,,,,,,,
Masculino,6 anos,Preferência pessoal,Mais de 5 anos,,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto ou por um carro",290126,,,,,,,
Masculino,41 anos,Rapidez \ Tempo; Mais fácil,Entre 3 e 5 anos,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto",290126,,,,,,,
Masculino,27 anos,Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,"Sim, por uma bicicleta elétrica ou por uma bicicleta melhor",290126,,,,,,,
Masculino,29,Exercício e saúde; Preferência pessoal,Mais de 5 anos,Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto ou por um carro",290126,,,,,,,
Masculino,50 anos,Exercício e saúde,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto",290126,,,,,,,
Masculino,52 anos,Custo \ É mais barato;Praticidade e conveniência;Mais fácil,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Calor ou clima,Não,Não,Não,290126,,,,,,,
Masculino,43 anos,Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto ou por um carro",290126,,,,,,,
Feminino,23 anos,Exercício e saúde,Menos de um ano,Falta de ciclovias; Desrespeito dos motoristas ou Trânsito; Risco de acidentes,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto ou por um carro",290126,,,,,,,
Masculino,25 anos,Exercício e saúde;Praticidade e conveniência,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Falta de ciclovias,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto ou por um carro",290126,,,,,,,
Masculino,37 anos,Rapidez \ Tempo;Praticidade e conveniência,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto",290126,,,,,,,
Masculino,45,Exercício e saúde;Rapidez \ Tempo,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia; Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Não,Não,290126,,,,,,,
Feminino,32 anos,Exercício e saúde; Praticidade e conveniência,,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,"Sim, tenho medo de acidentes",Sim,"Sim, por uma bicicleta elétrica",290126,,,,,,,
Masculino,44 anos,Exercício e saúde,Mais de 5 anos,Buracos na ciclovia; Outros obstáculos na ciclovia; Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto ou por um carro",290126,,,,,,,
Masculino,19 anos,Custo \ É mais barato; Praticidade e conveniência,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,Não,Não,"Sim, por uma moto",290126,,,,,,,
Masculino,24 anos,Exercício e saúde; Rapidez \ Tempo; Praticidade e conveniência,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Falta de ciclovias; Risco de acidentes,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto ou por um carro",290126,,,,,,,
Masculino,51 anos,Exercício e saúde; Praticidade e conveniência,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Calor ou clima,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto ou por um carro",290126,,,,,,,
Masculino,37 anos,Mais fácil; Exercício e saúde,Mais de 5 anos,Falta de ciclovias; Má qualidade das ciclovias; Desrespeito dos motoristas ou Trânsito,Não,Não,"Sim, por uma moto ou por um carro",290126,,,,,,,
M,22,Rapidez \ Tempo;Praticidade e conveniência,,Buracos na ciclovia; Outros obstáculos na ciclovia,,,Não,290224,Limpeza das ciclovias,,,,,,Avenida Leste-Oeste
M,36,Rapidez \ Tempo;Praticidade e conveniência,,"Lixo na ciclovia, Outros obstáculos na ciclovia",,,Não,290224,Melhoria da Iluminação,,,,,,Não mencionado
M,21,Exercício e saúde;Rapidez \ Tempo;Custo \ É mais barato,,Falta de ciclovias,,,Não,290224,Expansão das ciclovias;Melhora de qualidade das ciclovias,,,,,,Sargento Hermínio
M,40,Exercício e saúde;Rapidez \ Tempo;Praticidade e conveniência;Custo \ É mais barato;Mais fácil,,"Falta de ciclovias, Outros obstáculos na ciclovia",,,"Sim, por uma bicicleta melhor",290224,Melhora de qualidade das ciclovias,,,,,,Não mencionado
M,33,Exercício e saúde;Custo \ É mais barato,,"Falta de ciclovias, Sinalização inadequada, Desrespeito dos motoristas ou Trânsito",,,Não,290224,Melhora de qualidade das ciclovias,,,,,,Av Mister Hull
M,16,Exercício e saúde;Praticidade e conveniência;Custo \ É mais barato,,Desrespeito dos motoristas ou Trânsito; Falta de ciclovias; Má qualidade das ciclovias,,,"Sim, por uma moto",290224,Expansão das ciclovias;Melhora de qualidade das ciclovias,,,,,,Avenida Bezerra de Menezes
M,33,Rapidez \ Tempo,,Desrespeito dos motoristas ou Trânsito; Falta de ciclovias; Má qualidade das ciclovias,,,Não,290224,Melhoria da fiscalização; Conscietização dos motoristas; Segurança pública,,,,,,Rua José Jataí
M,43,Rapidez \ Tempo;Praticidade e conveniência,,Trânsito,,,"Sim, por uma moto",290224,Expansão das ciclovias,,,,,,Avenida Major Assis
M,60,Rapidez \ Tempo;Preferência pessoal,,"Falta de ciclovias, Má qualidade das ciclovias",,,Não,290224,"Segurança pública, Conscietização dos motoristas",,,,,,Não mencionado
M,30,Rapidez \ Tempo;Praticidade e conveniência,,Outros obstáculos na ciclovia,,,Não,290224,Melhoria da Iluminação; Segurança pública,,,,,,Não mencionado
M,42,Custo \ É mais barato;Única opção,,Desrespeito dos motoristas ou Trânsito,,,Não,290224,Expansão das ciclovias,,,,,,Não mencionado
M,52,Praticidade e conveniência;Preferência pessoal,,Medo de assaltos,,,Não,290224,Não se aplica,,,,,,Não mencionado
F,35,Exercício e saúde,,Machismo e desrespeito,,,Não,290224,Expansão das ciclovias;Melhora de qualidade das ciclovias,,,,,,Não mencionado
M,29,Segurança no trânsito;Praticidade e conveniência,,Buracos na ciclovia; Falta de ciclovias; Má qualidade das ciclovias,,,Não,290224,Expansão das ciclovias,,,,,,Avenida Dr. Theberge
F,22,Rapidez \ Tempo;Praticidade e conveniência,,Desrespeito dos motoristas ou Trânsito,,,"Sim, por um carro",290224,Expansão das ciclovias,,,,,,Bairro de Fátima
F,53,Custo \ É mais barato;Rapidez \ Tempo;Preferência pessoal,,Desrespeito dos motoristas ou Trânsito,,,Não,290224,"Melhoria da fiscalização, Segurança pública",,,,,,Não mencionado
M,30,Exercício e saúde;Rapidez \ Tempo,,Desrespeito dos motoristas ou Trânsito,,,"Sim, mas não especifica qual meio",290224,Melhora de qualidade das ciclovias,,,,,,Não mencionado
M,25,Exercício e saúde,,Falta de ciclovias,,,Não,290224,Expansão das ciclovias,,,,,,Avenida Padre Ibiapina
M,48,Segurança no trânsito,,Medo de assaltos,,,Não,290224,Melhoria da Iluminação; Segurança pública,,,,,,Avenida Mister Hull
M,90,Exercício e saúde;Rapidez \ Tempo;Praticidade e conveniência;Preferência pessoal,,Desrespeito dos motoristas ou Trânsito; Sinalização inadequada,,,Não,290224,Expansão das ciclovias;Conscietização dos motoristas;Melhoria da fiscalização,,,,,,Não mencionado
F,43,Rapidez \ Tempo; Preferência pessoal,,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,,,Não,290224,Expansão das ciclovias,,,,,,Não mencionado
M,35,Exercício e saúde; Rapidez \ Tempo,,Desrespeito dos motoristas ou Trânsito,,,Não,290224,Melhora de qualidade das ciclovias,,,,,,Não mencionado
M,49,Exercício e saúde; Segurança no trânsito,,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,,,Não,290224,Melhora de qualidade das ciclovias,,,,,,Não mencionado
M,53,Exercício e saúde; Custo \ É mais barato,,Outros obstáculos na ciclovia; Risco de acidentes,,,Não,290224,Expansão das ciclovias; Melhora de qualidade das ciclovias; Conscientização dos motoristas; Melhoria da fiscalização,,,,,,Rua Antônio Bezerra e Rua Bezerra de Menezes
M,58,Rapidez \ Tempo; Custo \ É mais barato; Segurança no trânsito,,Falta de ciclovias,,,Não,290224,Melhora de qualidade das ciclovias,,,,,,Av Francisco Sá
M,47,Exercício e saúde; Custo \ É mais barato; Praticidade e conveniência,,"Buracos na ciclovia, Lixo na ciclovia, Má qualidade das ciclovias",,,Não,290224,Expansão das ciclovias; Melhora de qualidade das ciclovias,,,,,,Não mencionado
F,41,Praticidade e conveniência; Rapidez \ Tempo; Segurança no trânsito,,Falta de ciclovias; Lixo na ciclovia; Buracos na ciclovia; Outros obstáculos na ciclovia,,,Não,290224,Expansão das ciclovias;Melhora de qualidade das ciclovias,,,,,,Bairro de Fátima
M,26,Praticidade e conveniência; Rapidez \ Tempo,,"Má qualidade das ciclovias, Sinalização inadequada",,,"Sim, por uma bicicleta elétrica",290224,Expansão das ciclovias;Melhora de qualidade das ciclovias,,,,,,Não mencionado
M,24,Mais fácil; Rapidez \ Tempo; Custo \ É mais barato,,Risco de acidentes; Falta de ciclovias; Má qualidade das ciclovias,,,Não,290224,Melhora de qualidade das ciclovias; Conscietização dos motoristas,,,,,,Av Mister Hull
F,,Exercício e saúde; Praticidade e conveniência,,Outros obstáculos na ciclovia,,,Não,290224,Melhoria da fiscalização,,,,,,Leste Oeste
F,43,Exercício e saúde;Rapidez \ Tempo,,Calor ou clima; Outros obstáculos na ciclovia,,,Não,290224,Expansão das ciclovias; Segurança pública,,,,,,Não mencionado
M,20,Exercício e saúde;Rapidez \ Tempo,,Buracos na ciclovia,,,Não,290224,Melhora de qualidade das ciclovias,,,,,,Região nobre da Aldeota
M,52,Única opção; Custo \ É mais barato,,Não classificado - Não mencionou nenhum problema.,,,Não,290224,Melhora de qualidade das ciclovias,,,,,,Não mencionado
M,47,Exercício e saúde; Preferência pessoal,,"Falta de ciclovias, Desrespeito dos motoristas ou Trânsito",,,Não,290224,Melhora de qualidade das ciclovias,,,,,,Não mencionado
M,20,Praticidade e conveniência; Custo \ É mais barato,,Falta de ciclovias,,,Não,290224,"Expansão das ciclovias, Melhora de qualidade das ciclovias",,,,,,Av Mister Hull
M,40,Exercício e saúde;Preferência pessoal,,Desrespeito dos motoristas ou Trânsito; Má qualidade das ciclovias; Risco de acidentes; Medo de assaltos,,,"Sim, por um carro",290224,Expansão das ciclovias,,,,,,Av Mister Hull
M,46,Praticidade e conveniência; Custo \ É mais barato,,Outros obstáculos na ciclovia,,,Não,290224,Conscietização dos motoristas; Melhoria da fiscalização,,,,,,Não mencionado
M,52,Exercício e saúde;Custo \ É mais barato;Praticidade e conveniência,,Desrespeito dos motoristas ou Trânsito,,,Não,290224,Melhora de qualidade das ciclovias,,,,,,Não mencionado
F,22,Rapidez \ Tempo; Preferência pessoal,,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,,,"Sim, por um carro",290224,Conscietização dos motoristas; Melhora de qualidade das ciclovias,,,,,,Bairro de Fátima
M,43,Rapidez \ Tempo; Custo \ É mais barato; Praticidade e conveniência,,Lixo na ciclovia,,,Não,290224,Limpeza das ciclovias; Conscietização dos motoristas,,,,,,Rua João Pessoa
M,45,Exercício e saúde; Praticidade e conveniência; Custo \ É mais barato,,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,,,Não,290224,Melhoria da fiscalização; Conscietização dos motoristas,,,,,,Av Mister Hull
M,54,Exercício e saúde; Preferência pessoal,,Desrespeito dos motoristas ou Trânsito,,,Não,290224,Expansão das ciclovias;Conscietização dos motoristas,,,,,,Avenida Treze de Maio
M,,Rapidez \ Tempo; Custo \ É mais barato,,"Má qualidade das ciclovias, Buracos na ciclovia",,,Não,290224,Expansão das ciclovias;Melhora de qualidade das ciclovias;Conscietização dos motoristas,,,,,,Não mencionado
M,30,Rapidez \ Tempo;Praticidade e conveniência,,"Falta de ciclovias, Má qualidade das ciclovias, Invasão de carros ou motos na ciclovia, Outros obstáculos na ciclovia",,,"Sim, mas não especifica qual meio",290224,Melhora de qualidade das ciclovias,,,,,,Não mencionado
M,32,Exercício e saúde; Rapidez \ Tempo; Praticidade e conveniência,,Falta de ciclovias; Medo de assaltos,,,"Sim, por uma moto",290224,Expansão das ciclovias; Melhora de qualidade das ciclovias,,,,,,Não mencionado
F,32,Rapidez \ Tempo,,Desrespeito dos motoristas ou Trânsito,,,Não,290224,"Expansão das ciclovias, Melhora de qualidade das ciclovias, Segurança pública",,,,,,Quintino Cunha
M,35,Custo \ É mais barato; Praticidade e conveniência,,Má qualidade das ciclovias,,,"Sim, por uma moto",290224,Melhora de qualidade das ciclovias; Expansão das ciclovias,,,,,,Não mencionado
M,20,Exercício e saúde;Custo \ É mais barato;Praticidade e conveniência,,Má qualidade das ciclovias,,,"Sim, por um carro",290224,Expansão das ciclovias;Melhora de qualidade das ciclovias,,,,,,Leste Oeste
M,53,Exercício e saúde; Rapidez \ Tempo; Custo \ É mais barato,,Desrespeito dos motoristas ou Trânsito,,,Não,290224,Melhora de qualidade das ciclovias,,,,,,Rua Francisco Sá
ND,43,Rapidez \ Tempo; Exercício e saúde; Praticidade e conveniência,,Outros obstáculos na ciclovia,,,"Sim, mas não especifica qual meio.",290224,Melhora de qualidade das ciclovias;Limpeza das ciclovias,,,,,,Avenida Desembargador Moreira
F,44,Exercício e saúde;Preferência pessoal,,Má qualidade das ciclovias,,,Não,290224,Expansão das ciclovias; Melhora de qualidade das ciclovias,,,,,,Av Heráclito Graça
F,58,,,Desrespeito dos motoristas ou Trânsito,,,Não,290224,Expansão das ciclovias;Conscietização dos motoristas,,,,,,Rua Jovita Feitosa & Avenida Treze de Maio
Masculino,13,Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,"Sim, mas não especifica qual meio",290525,,,,,,,
"O texto não fornece artigos, adjetivos, nomes ou pronomes explicitamente relacionados ao gênero da pessoa que está falando. No entanto, o pronome usado para se referir à terceira pessoa é ""o rapaz"" (masculino).",A idade da pessoa não está mencionada no texto.,,,Desrespeito dos motoristas ou Trânsito,,,Não,290525,,,,,,,
Masculino,39 anos,Exercício e saúde;Praticidade e conveniência;Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",Sim,,290525,,,,,,,
Masculino,35 anos,Praticidade e conveniência,,,"Sim, tenho medo de acidentes",Não,Não,290525,,,,,,,
Masculino,53 anos,Exercício e saúde;Rapidez \ Tempo;Praticidade e conveniência,Mais de 5 anos,Risco de acidentes; Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Não,Não,290525,,,,,,,
Masculino,18 anos,Preferência pessoal,Entre 2 e 3 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, mas não especifica qual meio",290525,,,,,,,
Masculino,56 anos,Exercício e saúde;Preferência pessoal;Única opção,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",Não,Não,290525,,,,,,,
Feminino,37 anos,Rapidez \ Tempo;Praticidade e conveniência;Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não,290525,,,,,,,
Masculino,52,Exercício e saúde; Praticidade e conveniência; Rapidez \ Tempo,Mais de 5 anos,Lixo na ciclovia,"Sim, tenho medo de acidentes",Sim,Não,290525,,,,,,,
Masculino,A informação não está presente no texto.,Preferência pessoal,,Lixo na ciclovia,,,,290525,,,,,,,
Masculino,58 anos,Preferência pessoal,Mais de 5 anos,Lixo na ciclovia,"Sim, tenho medo de acidentes",Não,Não,290525,,,,,,,
Feminino,18 anos,Exercício e saúde;Preferência pessoal,Mais de 5 anos,Buracos na ciclovia; Má qualidade das ciclovias,Não,Não,Não,290525,,,,,,,
Masculino,30 anos,Exercício e saúde; Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto",290525,,,,,,,
